Region,County,First Dose,Series Complete,Report as of
Finger Lakes,Wyoming,12,0,12/17/2020
Finger Lakes,Yates,2,0,12/17/2020
Capital Region,Albany,704,3,12/18/2020
Western New York,Allegany,43,0,12/18/2020
New York City,Bronx,609,1,12/18/2020
Southern Tier,Broome,8,0,12/18/2020
Western New York,Cattaraugus,147,0,12/18/2020
Central New York,Cayuga,24,0,12/18/2020
Western New York,Chautauqua,135,0,12/18/2020
Southern Tier,Chemung,5,1,12/18/2020
Southern Tier,Chenango,1,0,12/18/2020
North Country,Clinton,30,0,12/18/2020
Capital Region,Columbia,47,0,12/18/2020
Central New York,Cortland,1,0,12/18/2020
Southern Tier,Delaware,2,0,12/18/2020
Mid-Hudson,Dutchess,281,1,12/18/2020
Western New York,Erie,1631,2,12/18/2020
North Country,Essex,19,0,12/18/2020
North Country,Franklin,56,0,12/18/2020
Mohawk Valley,Fulton,16,0,12/18/2020
Finger Lakes,Genesee,21,0,12/18/2020
Capital Region,Greene,25,0,12/18/2020
North Country,Hamilton,0,0,12/18/2020
Mohawk Valley,Herkimer,41,0,12/18/2020
North Country,Jefferson,16,0,12/18/2020
New York City,Kings,2049,12,12/18/2020
North Country,Lewis,3,0,12/18/2020
Finger Lakes,Livingston,33,0,12/18/2020
Central New York,Madison,44,0,12/18/2020
Finger Lakes,Monroe,1127,1,12/18/2020
Mohawk Valley,Montgomery,19,0,12/18/2020
Long Island,Nassau,1654,5,12/18/2020
New York City,New York,3473,9,12/18/2020
Western New York,Niagara,138,0,12/18/2020
Mohawk Valley,Oneida,261,0,12/18/2020
Central New York,Onondaga,710,2,12/18/2020
Finger Lakes,Ontario,53,0,12/18/2020
Mid-Hudson,Orange,473,5,12/18/2020
Finger Lakes,Orleans,12,0,12/18/2020
Central New York,Oswego,29,0,12/18/2020
Mohawk Valley,Otsego,7,0,12/18/2020
Mid-Hudson,Putnam,75,2,12/18/2020
New York City,Queens,1778,8,12/18/2020
Capital Region,Rensselaer,187,1,12/18/2020
New York City,Richmond,677,0,12/18/2020
Mid-Hudson,Rockland,431,0,12/18/2020
Capital Region,Saratoga,346,0,12/18/2020
Capital Region,Schenectady,273,0,12/18/2020
Mohawk Valley,Schoharie,11,0,12/18/2020
Southern Tier,Schuyler,0,0,12/18/2020
Finger Lakes,Seneca,4,0,12/18/2020
North Country,St. Lawrence,415,1,12/18/2020
Southern Tier,Steuben,6,0,12/18/2020
Long Island,Suffolk,1289,5,12/18/2020
Mid-Hudson,Sullivan,24,0,12/18/2020
Southern Tier,Tioga,2,0,12/18/2020
Southern Tier,Tompkins,9,0,12/18/2020
Mid-Hudson,Ulster,151,1,12/18/2020
Capital Region,Warren,73,0,12/18/2020
Capital Region,Washington,31,0,12/18/2020
Finger Lakes,Wayne,29,1,12/18/2020
Mid-Hudson,Westchester,1434,4,12/18/2020
Finger Lakes,Wyoming,15,0,12/18/2020
Finger Lakes,Yates,4,0,12/18/2020
Capital Region,Albany,786,3,12/19/2020
Western New York,Allegany,44,0,12/19/2020
New York City,Bronx,687,1,12/19/2020
Southern Tier,Broome,11,0,12/19/2020
Western New York,Cattaraugus,148,0,12/19/2020
Central New York,Cayuga,29,0,12/19/2020
Western New York,Chautauqua,135,0,12/19/2020
Southern Tier,Chemung,5,1,12/19/2020
Southern Tier,Chenango,3,0,12/19/2020
North Country,Clinton,43,0,12/19/2020
Capital Region,Columbia,81,0,12/19/2020
Central New York,Cortland,3,0,12/19/2020
Southern Tier,Delaware,3,0,12/19/2020
Mid-Hudson,Dutchess,313,3,12/19/2020
Western New York,Erie,1849,2,12/19/2020
North Country,Essex,24,0,12/19/2020
North Country,Franklin,93,0,12/19/2020
Mohawk Valley,Fulton,19,0,12/19/2020
Finger Lakes,Genesee,22,0,12/19/2020
Capital Region,Greene,35,0,12/19/2020
North Country,Hamilton,0,0,12/19/2020
Mohawk Valley,Herkimer,55,0,12/19/2020
North Country,Jefferson,20,0,12/19/2020
New York City,Kings,2854,15,12/19/2020
North Country,Lewis,4,0,12/19/2020
Finger Lakes,Livingston,39,0,12/19/2020
