Region,County,First Dose,Series Complete,Report as of
New York City,Bronx,955694,838732,10/14/2021
Southern Tier,Broome,119668,112211,10/14/2021
Western New York,Cattaraugus,37610,34636,10/14/2021
Central New York,Cayuga,43985,40841,10/14/2021
Western New York,Chautauqua,70678,64620,10/14/2021
Southern Tier,Chemung,42733,40063,10/14/2021
Southern Tier,Chenango,27531,25855,10/14/2021
North Country,Clinton,52710,49746,10/14/2021
Capital Region,Columbia,40736,37250,10/14/2021
Central New York,Cortland,26232,24629,10/14/2021
Southern Tier,Delaware,23651,21932,10/14/2021
Mid-Hudson,Dutchess,197874,178005,10/14/2021
Western New York,Erie,611567,565732,10/14/2021
North Country,Essex,24444,23071,10/14/2021
North Country,Franklin,27422,25641,10/14/2021
Mohawk Valley,Fulton,26353,24590,10/14/2021
Finger Lakes,Genesee,32765,30511,10/14/2021
Capital Region,Greene,28208,25550,10/14/2021
North Country,Hamilton,3329,3070,10/14/2021
Mohawk Valley,Herkimer,32899,30429,10/14/2021
North Country,Jefferson,64672,53484,10/14/2021
New York City,Kings,1672495,1499809,10/14/2021
North Country,Lewis,12755,12090,10/14/2021
Finger Lakes,Livingston,35881,33919,10/14/2021
Central New York,Madison,48115,44945,10/14/2021
Finger Lakes,Monroe,502741,470872,10/14/2021
Mohawk Valley,Montgomery,31012,29028,10/14/2021
Long Island,Nassau,1070673,976290,10/14/2021
New York City,New York,1319381,1186342,10/14/2021
Western New York,Niagara,130290,121520,10/14/2021
Mohawk Valley,Oneida,134981,124547,10/14/2021
Central New York,Onondaga,319573,295960,10/14/2021
Finger Lakes,Ontario,73418,69359,10/14/2021
Mid-Hudson,Orange,222253,201612,10/14/2021
Finger Lakes,Orleans,21296,19657,10/14/2021
Central New York,Oswego,69720,65266,10/14/2021
Mohawk Valley,Otsego,35958,33660,10/14/2021
Mid-Hudson,Putnam,71402,64221,10/14/2021
New York City,Queens,1820403,1654633,10/14/2021
Capital Region,Rensselaer,104094,96894,10/14/2021
New York City,Richmond,322111,291723,10/14/2021
Mid-Hudson,Rockland,198999,180044,10/14/2021
Capital Region,Saratoga,163544,153600,10/14/2021
Capital Region,Schenectady,117442,108834,10/14/2021
Mohawk Valley,Schoharie,17125,16168,10/14/2021
Southern Tier,Schuyler,10007,9324,10/14/2021
Finger Lakes,Seneca,17270,16146,10/14/2021
North Country,St. Lawrence,63065,59072,10/14/2021
Southern Tier,Steuben,47682,44799,10/14/2021
Long Island,Suffolk,1066751,966226,10/14/2021
Mid-Hudson,Sullivan,43585,39202,10/14/2021
Southern Tier,Tioga,22754,21497,10/14/2021
Southern Tier,Tompkins,75091,70405,10/14/2021
Mid-Hudson,Ulster,128984,117680,10/14/2021
Capital Region,Warren,46321,43788,10/14/2021
Capital Region,Washington,36840,34921,10/14/2021
Finger Lakes,Wayne,56599,53031,10/14/2021
Mid-Hudson,Westchester,735241,665586,10/14/2021
Finger Lakes,Wyoming,20380,18973,10/14/2021
Finger Lakes,Yates,12723,11813,10/14/2021
Capital Region,Albany,219223,201998,10/15/2021
Western New York,Allegany,19859,18523,10/15/2021
New York City,Bronx,957767,841944,10/15/2021
Southern Tier,Broome,119775,112368,10/15/2021
Western New York,Cattaraugus,37637,34679,10/15/2021
Central New York,Cayuga,44021,40901,10/15/2021
Western New York,Chautauqua,70747,64712,10/15/2021
Southern Tier,Chemung,42773,40109,10/15/2021
Southern Tier,Chenango,27557,25888,10/15/2021
North Country,Clinton,52743,49915,10/15/2021
Capital Region,Columbia,40775,37285,10/15/2021
Central New York,Cortland,26252,24664,10/15/2021
Southern Tier,Delaware,23678,21984,10/15/2021
Mid-Hudson,Dutchess,198034,178207,10/15/2021
Western New York,Erie,612108,566585,10/15/2021
North Country,Essex,24470,23114,10/15/2021
North Country,Franklin,27440,25665,10/15/2021
Mohawk Valley,Fulton,26386,24626,10/15/2021
Finger Lakes,Genesee,32793,30559,10/15/2021
Capital Region,Greene,28232,25625,10/15/2021
North Country,Hamilton,3332,3073,10/15/2021
Mohawk Valley,Herkimer,32932,30491,10/15/2021
North Country,Jefferson,64742,53575,10/15/2021
New York City,Kings,1675357,1504073,10/15/2021
North Country,Lewis,12781,12122,10/15/2021
Finger Lakes,Livingston,35914,33959,10/15/2021
Central New York,Madison,48154,45007,10/15/2021
Finger Lakes,Monroe,503186,471488,10/15/2021
Mohawk Valley,Montgomery,31042,29076,10/15/2021
Long Island,Nassau,1071730,977936,10/15/2021
New York City,New York,1321026,1188111,10/15/2021
Western New York,Niagara,130407,121702,10/15/2021
Mohawk Valley,Oneida,135154,124788,10/15/2021
Central New York,Onondaga,319929,296320,10/15/2021
Finger Lakes,Ontario,73456,69413,10/15/2021
Mid-Hudson,Orange,222580,202029,10/15/2021
Finger Lakes,Orleans,21326,19719,10/15/2021
Central New York,Oswego,69776,65373,10/15/2021
Mohawk Valley,Otsego,35985,33706,10/15/2021
Mid-Hudson,Putnam,71467,64290,10/15/2021
New York City,Queens,1822621,1658078,10/15/2021
Capital Region,Rensselaer,104209,97006,10/15/2021
New York City,Richmond,322436,292328,10/15/2021
Mid-Hudson,Rockland,199215,180307,10/15/2021
Capital Region,Saratoga,163660,153713,10/15/2021
Capital Region,Schenectady,117537,108970,10/15/2021
Mohawk Valley,Schoharie,17142,16186,10/15/2021
Southern Tier,Schuyler,10012,9334,10/15/2021
Finger Lakes,Seneca,17281,16161,10/15/2021
North Country,St. Lawrence,63138,59135,10/15/2021
Southern Tier,Steuben,47751,44915,10/15/2021
Long Island,Suffolk,1068030,968125,10/15/2021
Mid-Hudson,Sullivan,43649,39295,10/15/2021
Southern Tier,Tioga,22789,21524,10/15/2021
Southern Tier,Tompkins,75139,70456,10/15/2021
Mid-Hudson,Ulster,129127,117834,10/15/2021
Capital Region,Warren,46364,43837,10/15/2021
Capital Region,Washington,36876,34973,10/15/2021
Finger Lakes,Wayne,56653,53136,10/15/2021
Mid-Hudson,Westchester,736015,666573,10/15/2021
Finger Lakes,Wyoming,20407,19017,10/15/2021
Finger Lakes,Yates,12738,11827,10/15/2021
Capital Region,Albany,219339,202116,10/16/2021
Western New York,Allegany,19874,18544,10/16/2021
New York City,Bronx,959056,843904,10/16/2021
Southern Tier,Broome,119866,112461,10/16/2021
Western New York,Cattaraugus,37657,34706,10/16/2021
Central New York,Cayuga,44067,40965,10/16/2021
Western New York,Chautauqua,70808,64793,10/16/2021
Southern Tier,Chemung,42801,40146,10/16/2021
Southern Tier,Chenango,27581,25916,10/16/2021
North Country,Clinton,52759,49953,10/16/2021
Capital Region,Columbia,40802,37306,10/16/2021
Central New York,Cortland,26268,24686,10/16/2021
Southern Tier,Delaware,23693,22011,10/16/2021
Mid-Hudson,Dutchess,198177,178407,10/16/2021
Western New York,Erie,612538,567310,10/16/2021
North Country,Essex,24481,23120,10/16/2021
North Country,Franklin,27456,25681,10/16/2021
Mohawk Valley,Fulton,26401,24658,10/16/2021
Finger Lakes,Genesee,32813,30595,10/16/2021
Capital Region,Greene,28256,25650,10/16/2021
North Country,Hamilton,3332,3073,10/16/2021
Mohawk Valley,Herkimer,32952,30540,10/16/2021
North Country,Jefferson,64772,53631,10/16/2021
New York City,Kings,1677467,1507395,10/16/2021
North Country,Lewis,12787,12137,10/16/2021
Finger Lakes,Livingston,35938,34004,10/16/2021
Central New York,Madison,48178,45039,10/16/2021
Finger Lakes,Monroe,503468,471966,10/16/2021
Mohawk Valley,Montgomery,31058,29108,10/16/2021
Long Island,Nassau,1072509,979231,10/16/2021
New York City,New York,1322191,1189189,10/16/2021
Western New York,Niagara,130510,121915,10/16/2021
Mohawk Valley,Oneida,135281,124932,10/16/2021
Central New York,Onondaga,320095,296622,10/16/2021
Finger Lakes,Ontario,73494,69477,10/16/2021
Mid-Hudson,Orange,222795,202327,10/16/2021
Finger Lakes,Orleans,21332,19744,10/16/2021
Central New York,Oswego,69808,65407,10/16/2021
Mohawk Valley,Otsego,36004,33731,10/16/2021
Mid-Hudson,Putnam,71503,64338,10/16/2021
New York City,Queens,1824441,1660754,10/16/2021
Capital Region,Rensselaer,104278,97080,10/16/2021
New York City,Richmond,322773,292983,10/16/2021
Mid-Hudson,Rockland,199356,180507,10/16/2021
Capital Region,Saratoga,163759,153786,10/16/2021
Capital Region,Schenectady,117592,109042,10/16/2021
Mohawk Valley,Schoharie,17152,16200,10/16/2021
Southern Tier,Schuyler,10017,9341,10/16/2021
Finger Lakes,Seneca,17296,16180,10/16/2021
North Country,St. Lawrence,63182,59180,10/16/2021
Southern Tier,Steuben,47785,44955,10/16/2021
Long Island,Suffolk,1068992,969519,10/16/2021
Mid-Hudson,Sullivan,43682,39331,10/16/2021
Southern Tier,Tioga,22814,21538,10/16/2021
Southern Tier,Tompkins,75175,70497,10/16/2021
Mid-Hudson,Ulster,129218,117935,10/16/2021
Capital Region,Warren,46393,43859,10/16/2021
Capital Region,Washington,36896,35005,10/16/2021
Finger Lakes,Wayne,56686,53208,10/16/2021
Mid-Hudson,Westchester,736474,667229,10/16/2021
Finger Lakes,Wyoming,20418,19036,10/16/2021
Finger Lakes,Yates,12745,11837,10/16/2021
Capital Region,Albany,219385,202181,10/17/2021
Western New York,Allegany,19883,18548,10/17/2021
New York City,Bronx,959608,844713,10/17/2021
Southern Tier,Broome,119887,112520,10/17/2021
Western New York,Cattaraugus,37666,34727,10/17/2021
Central New York,Cayuga,44088,40988,10/17/2021
Western New York,Chautauqua,70839,64829,10/17/2021
Southern Tier,Chemung,42814,40168,10/17/2021
Southern Tier,Chenango,27589,25927,10/17/2021
North Country,Clinton,52769,49963,10/17/2021
Capital Region,Columbia,40815,37329,10/17/2021
Central New York,Cortland,26275,24695,10/17/2021
Southern Tier,Delaware,23700,22021,10/17/2021
Mid-Hudson,Dutchess,198237,178485,10/17/2021
Western New York,Erie,612774,567769,10/17/2021
North Country,Essex,24486,23130,10/17/2021
North Country,Franklin,27469,25704,10/17/2021
Mohawk Valley,Fulton,26407,24680,10/17/2021
Finger Lakes,Genesee,32825,30612,10/17/2021
Capital Region,Greene,28262,25663,10/17/2021
North Country,Hamilton,3332,3074,10/17/2021
Mohawk Valley,Herkimer,32959,30558,10/17/2021
North Country,Jefferson,64811,53684,10/17/2021
New York City,Kings,1678629,1509390,10/17/2021
North Country,Lewis,12790,12147,10/17/2021
Finger Lakes,Livingston,35952,34019,10/17/2021
Central New York,Madison,48201,45056,10/17/2021
Finger Lakes,Monroe,503621,472221,10/17/2021
Mohawk Valley,Montgomery,31071,29124,10/17/2021
Long Island,Nassau,1072898,979915,10/17/2021
New York City,New York,1322848,1189806,10/17/2021
Western New York,Niagara,130557,122017,10/17/2021
Mohawk Valley,Oneida,135333,125003,10/17/2021
Central New York,Onondaga,320184,296761,10/17/2021
Finger Lakes,Ontario,73514,69498,10/17/2021
Mid-Hudson,Orange,222911,202484,10/17/2021
Finger Lakes,Orleans,21341,19763,10/17/2021
Central New York,Oswego,69828,65432,10/17/2021
Mohawk Valley,Otsego,36007,33739,10/17/2021
Mid-Hudson,Putnam,71515,64365,10/17/2021
New York City,Queens,1825372,1662236,10/17/2021
Capital Region,Rensselaer,104307,97116,10/17/2021
New York City,Richmond,322922,293373,10/17/2021
Mid-Hudson,Rockland,199424,180597,10/17/2021
Capital Region,Saratoga,163796,153827,10/17/2021
Capital Region,Schenectady,117640,109097,10/17/2021
Mohawk Valley,Schoharie,17161,16222,10/17/2021
Southern Tier,Schuyler,10019,9344,10/17/2021
Finger Lakes,Seneca,17302,16188,10/17/2021
North Country,St. Lawrence,63204,59218,10/17/2021
Southern Tier,Steuben,47805,44969,10/17/2021
Long Island,Suffolk,1069393,970254,10/17/2021
Mid-Hudson,Sullivan,43700,39357,10/17/2021
Southern Tier,Tioga,22821,21547,10/17/2021
Southern Tier,Tompkins,75199,70512,10/17/2021
Mid-Hudson,Ulster,129261,117994,10/17/2021
Capital Region,Warren,46398,43869,10/17/2021
Capital Region,Washington,36910,35021,10/17/2021
Finger Lakes,Wayne,56704,53249,10/17/2021
Mid-Hudson,Westchester,736653,667545,10/17/2021
Finger Lakes,Wyoming,20424,19042,10/17/2021
Finger Lakes,Yates,12750,11845,10/17/2021
Capital Region,Albany,219531,202329,10/18/2021
Western New York,Allegany,19901,18577,10/18/2021
New York City,Bronx,961278,847339,10/18/2021
Southern Tier,Broome,119972,112623,10/18/2021
Western New York,Cattaraugus,37689,34773,10/18/2021
Central New York,Cayuga,44106,41021,10/18/2021
Western New York,Chautauqua,70882,64900,10/18/2021
Southern Tier,Chemung,42834,40192,10/18/2021
Southern Tier,Chenango,27608,25941,10/18/2021
North Country,Clinton,52799,50023,10/18/2021
Capital Region,Columbia,40856,37382,10/18/2021
Central New York,Cortland,26284,24710,10/18/2021
Southern Tier,Delaware,23703,22038,10/18/2021
Mid-Hudson,Dutchess,198397,178662,10/18/2021
Western New York,Erie,613116,568391,10/18/2021
North Country,Essex,24488,23138,10/18/2021
North Country,Franklin,27488,25729,10/18/2021
Mohawk Valley,Fulton,26431,24711,10/18/2021
Finger Lakes,Genesee,32838,30644,10/18/2021
Capital Region,Greene,28281,25716,10/18/2021
North Country,Hamilton,3335,3075,10/18/2021
Mohawk Valley,Herkimer,32983,30593,10/18/2021
North Country,Jefferson,64889,53749,10/18/2021
New York City,Kings,1681009,1512942,10/18/2021
North Country,Lewis,12802,12159,10/18/2021
Finger Lakes,Livingston,35968,34052,10/18/2021
Central New York,Madison,48223,45082,10/18/2021
Finger Lakes,Monroe,503838,472617,10/18/2021
Mohawk Valley,Montgomery,31085,29138,10/18/2021
Long Island,Nassau,1073921,981261,10/18/2021
New York City,New York,1324156,1191099,10/18/2021
Western New York,Niagara,130619,122120,10/18/2021
Mohawk Valley,Oneida,135434,125148,10/18/2021
Central New York,Onondaga,320310,296933,10/18/2021
Finger Lakes,Ontario,73535,69527,10/18/2021
Mid-Hudson,Orange,223071,202743,10/18/2021
Finger Lakes,Orleans,21351,19796,10/18/2021
Central New York,Oswego,69867,65483,10/18/2021
Mohawk Valley,Otsego,36015,33759,10/18/2021
Mid-Hudson,Putnam,71571,64423,10/18/2021
New York City,Queens,1827416,1664890,10/18/2021
Capital Region,Rensselaer,104381,97196,10/18/2021
New York City,Richmond,323241,294014,10/18/2021
Mid-Hudson,Rockland,199578,180771,10/18/2021
Capital Region,Saratoga,163891,153924,10/18/2021
Capital Region,Schenectady,117721,109182,10/18/2021
Mohawk Valley,Schoharie,17177,16239,10/18/2021
Southern Tier,Schuyler,10023,9352,10/18/2021
Finger Lakes,Seneca,17310,16203,10/18/2021
North Country,St. Lawrence,63274,59287,10/18/2021
Southern Tier,Steuben,47828,45020,10/18/2021
Long Island,Suffolk,1070329,971559,10/18/2021
Mid-Hudson,Sullivan,43724,39400,10/18/2021
Southern Tier,Tioga,22841,21560,10/18/2021
Southern Tier,Tompkins,75229,70533,10/18/2021
Mid-Hudson,Ulster,129326,118079,10/18/2021
Capital Region,Warren,46413,43891,10/18/2021
Capital Region,Washington,36929,35051,10/18/2021
Finger Lakes,Wayne,56727,53280,10/18/2021
Mid-Hudson,Westchester,737329,668351,10/18/2021
Finger Lakes,Wyoming,20430,19055,10/18/2021
Finger Lakes,Yates,12751,11856,10/18/2021
Capital Region,Albany,219717,202517,10/19/2021
Western New York,Allegany,19924,18600,10/19/2021
New York City,Bronx,963185,850007,10/19/2021
Southern Tier,Broome,120039,112718,10/19/2021
Western New York,Cattaraugus,37705,34797,10/19/2021
Central New York,Cayuga,44129,41053,10/19/2021
Western New York,Chautauqua,70950,64997,10/19/2021
Southern Tier,Chemung,42862,40225,10/19/2021
Southern Tier,Chenango,27623,25978,10/19/2021
North Country,Clinton,52823,50039,10/19/2021
Capital Region,Columbia,40886,37420,10/19/2021
Central New York,Cortland,26298,24728,10/19/2021
Southern Tier,Delaware,23719,22059,10/19/2021
Mid-Hudson,Dutchess,198578,178863,10/19/2021
Western New York,Erie,613521,569003,10/19/2021
North Country,Essex,24505,23143,10/19/2021
North Country,Franklin,27502,25747,10/19/2021
Mohawk Valley,Fulton,26442,24726,10/19/2021
Finger Lakes,Genesee,32867,30680,10/19/2021
Capital Region,Greene,28311,25769,10/19/2021
North Country,Hamilton,3335,3075,10/19/2021
Mohawk Valley,Herkimer,33006,30633,10/19/2021
North Country,Jefferson,64937,53820,10/19/2021
New York City,Kings,1683382,1516422,10/19/2021
North Country,Lewis,12808,12169,10/19/2021
Finger Lakes,Livingston,36001,34070,10/19/2021
Central New York,Madison,48267,45134,10/19/2021
Finger Lakes,Monroe,504176,473127,10/19/2021
Mohawk Valley,Montgomery,31107,29173,10/19/2021
Long Island,Nassau,1074859,982515,10/19/2021
New York City,New York,1325671,1192544,10/19/2021
Western New York,Niagara,130714,122293,10/19/2021
Mohawk Valley,Oneida,135577,125280,10/19/2021
Central New York,Onondaga,320476,297150,10/19/2021
Finger Lakes,Ontario,73569,69569,10/19/2021
Mid-Hudson,Orange,223414,203088,10/19/2021
Finger Lakes,Orleans,21374,19827,10/19/2021
Central New York,Oswego,69908,65524,10/19/2021
Mohawk Valley,Otsego,36035,33787,10/19/2021
Mid-Hudson,Putnam,71640,64492,10/19/2021
New York City,Queens,1829319,1667624,10/19/2021
Capital Region,Rensselaer,104469,97262,10/19/2021
New York City,Richmond,323580,294571,10/19/2021
Mid-Hudson,Rockland,199754,181003,10/19/2021
Capital Region,Saratoga,163991,154011,10/19/2021
Capital Region,Schenectady,117824,109260,10/19/2021
Mohawk Valley,Schoharie,17192,16255,10/19/2021
Southern Tier,Schuyler,10028,9359,10/19/2021
Finger Lakes,Seneca,17315,16212,10/19/2021
North Country,St. Lawrence,63334,59337,10/19/2021
Southern Tier,Steuben,47846,45063,10/19/2021
Long Island,Suffolk,1071311,972864,10/19/2021
Mid-Hudson,Sullivan,43765,39441,10/19/2021
Southern Tier,Tioga,22857,21577,10/19/2021
Southern Tier,Tompkins,75253,70559,10/19/2021
Mid-Hudson,Ulster,129408,118178,10/19/2021
Capital Region,Warren,46458,43931,10/19/2021
Capital Region,Washington,36959,35078,10/19/2021
Finger Lakes,Wayne,56756,53327,10/19/2021
Mid-Hudson,Westchester,738064,669071,10/19/2021
Finger Lakes,Wyoming,20454,19076,10/19/2021
Finger Lakes,Yates,12761,11865,10/19/2021
Capital Region,Albany,219854,202662,10/20/2021
Western New York,Allegany,19940,18616,10/20/2021
New York City,Bronx,965106,852604,10/20/2021
Southern Tier,Broome,120127,112834,10/20/2021
Western New York,Cattaraugus,37732,34847,10/20/2021
Central New York,Cayuga,44149,41075,10/20/2021
Western New York,Chautauqua,71002,65079,10/20/2021
Southern Tier,Chemung,42918,40273,10/20/2021
Southern Tier,Chenango,27643,26002,10/20/2021
North Country,Clinton,52835,50060,10/20/2021
Capital Region,Columbia,40927,37458,10/20/2021
Central New York,Cortland,26314,24750,10/20/2021
Southern Tier,Delaware,23736,22071,10/20/2021
Mid-Hudson,Dutchess,198771,179073,10/20/2021
Western New York,Erie,614019,569803,10/20/2021
North Country,Essex,24524,23147,10/20/2021
North Country,Franklin,27515,25763,10/20/2021
Mohawk Valley,Fulton,26463,24754,10/20/2021
Finger Lakes,Genesee,32905,30729,10/20/2021
Capital Region,Greene,28344,25815,10/20/2021
North Country,Hamilton,3337,3076,10/20/2021
Mohawk Valley,Herkimer,33024,30673,10/20/2021
North Country,Jefferson,64998,53886,10/20/2021
New York City,Kings,1685795,1519867,10/20/2021
North Country,Lewis,12824,12183,10/20/2021
Finger Lakes,Livingston,36023,34093,10/20/2021
Central New York,Madison,48300,45164,10/20/2021
Finger Lakes,Monroe,504571,473665,10/20/2021
Mohawk Valley,Montgomery,31147,29214,10/20/2021
Long Island,Nassau,1075813,983757,10/20/2021
New York City,New York,1327159,1193800,10/20/2021
Western New York,Niagara,130810,122417,10/20/2021
Mohawk Valley,Oneida,135701,125414,10/20/2021
Central New York,Onondaga,320665,297396,10/20/2021
Finger Lakes,Ontario,73597,69617,10/20/2021
Mid-Hudson,Orange,223688,203374,10/20/2021
Finger Lakes,Orleans,21396,19840,10/20/2021
Central New York,Oswego,69944,65581,10/20/2021
Mohawk Valley,Otsego,36066,33813,10/20/2021
Mid-Hudson,Putnam,71703,64561,10/20/2021
New York City,Queens,1831339,1670245,10/20/2021
Capital Region,Rensselaer,104540,97333,10/20/2021
New York City,Richmond,324002,295318,10/20/2021
Mid-Hudson,Rockland,199978,181233,10/20/2021
Capital Region,Saratoga,164073,154097,10/20/2021
Capital Region,Schenectady,117920,109355,10/20/2021
Mohawk Valley,Schoharie,17210,16273,10/20/2021
Southern Tier,Schuyler,10040,9362,10/20/2021
Finger Lakes,Seneca,17327,16224,10/20/2021
North Country,St. Lawrence,63376,59375,10/20/2021
Southern Tier,Steuben,47880,45116,10/20/2021
Long Island,Suffolk,1072313,974158,10/20/2021
Mid-Hudson,Sullivan,43809,39507,10/20/2021
Southern Tier,Tioga,22875,21587,10/20/2021
Southern Tier,Tompkins,75292,70594,10/20/2021
Mid-Hudson,Ulster,129486,118284,10/20/2021
Capital Region,Warren,46485,43961,10/20/2021
Capital Region,Washington,36983,35112,10/20/2021
Finger Lakes,Wayne,56797,53376,10/20/2021
Mid-Hudson,Westchester,738713,669840,10/20/2021
Finger Lakes,Wyoming,20470,19111,10/20/2021
Finger Lakes,Yates,12787,11882,10/20/2021
Capital Region,Albany,220001,202819,10/21/2021
Western New York,Allegany,19949,18626,10/21/2021
New York City,Bronx,966923,855025,10/21/2021
Southern Tier,Broome,120217,112935,10/21/2021
Western New York,Cattaraugus,37749,34876,10/21/2021
Central New York,Cayuga,44180,41120,10/21/2021
Western New York,Chautauqua,71041,65140,10/21/2021
Southern Tier,Chemung,42945,40321,10/21/2021
Southern Tier,Chenango,27661,26016,10/21/2021
North Country,Clinton,52867,50097,10/21/2021
Capital Region,Columbia,40954,37481,10/21/2021
Central New York,Cortland,26327,24769,10/21/2021
Southern Tier,Delaware,23761,22086,10/21/2021
Mid-Hudson,Dutchess,198920,179228,10/21/2021
Western New York,Erie,614424,570305,10/21/2021
North Country,Essex,24537,23164,10/21/2021
North Country,Franklin,27541,25797,10/21/2021
Mohawk Valley,Fulton,26484,24782,10/21/2021
Finger Lakes,Genesee,32919,30758,10/21/2021
Capital Region,Greene,28370,25862,10/21/2021
North Country,Hamilton,3337,3076,10/21/2021
Mohawk Valley,Herkimer,33049,30695,10/21/2021
North Country,Jefferson,65080,53942,10/21/2021
New York City,Kings,1688288,1523280,10/21/2021
North Country,Lewis,12831,12196,10/21/2021
Finger Lakes,Livingston,36045,34121,10/21/2021
Central New York,Madison,48320,45195,10/21/2021
Finger Lakes,Monroe,504905,474113,10/21/2021
Mohawk Valley,Montgomery,31171,29234,10/21/2021
Long Island,Nassau,1076712,984968,10/21/2021
New York City,New York,1328578,1195107,10/21/2021
Western New York,Niagara,130911,122553,10/21/2021
Mohawk Valley,Oneida,135823,125564,10/21/2021
Central New York,Onondaga,320854,297610,10/21/2021
Finger Lakes,Ontario,73628,69667,10/21/2021
Mid-Hudson,Orange,223890,203575,10/21/2021
Finger Lakes,Orleans,21431,19898,10/21/2021
Central New York,Oswego,70003,65644,10/21/2021
Mohawk Valley,Otsego,36087,33836,10/21/2021
Mid-Hudson,Putnam,71738,64610,10/21/2021
New York City,Queens,1833161,1672688,10/21/2021
Capital Region,Rensselaer,104612,97398,10/21/2021
New York City,Richmond,324530,296072,10/21/2021
Mid-Hudson,Rockland,200144,181433,10/21/2021
Capital Region,Saratoga,164143,154180,10/21/2021
Capital Region,Schenectady,117984,109425,10/21/2021
Mohawk Valley,Schoharie,17218,16280,10/21/2021
Southern Tier,Schuyler,10042,9369,10/21/2021
Finger Lakes,Seneca,17340,16237,10/21/2021
North Country,St. Lawrence,63458,59458,10/21/2021
Southern Tier,Steuben,47911,45154,10/21/2021
Long Island,Suffolk,1073181,975304,10/21/2021
Mid-Hudson,Sullivan,43837,39554,10/21/2021
Southern Tier,Tioga,22886,21598,10/21/2021
Southern Tier,Tompkins,75327,70628,10/21/2021
Mid-Hudson,Ulster,129551,118365,10/21/2021
Capital Region,Warren,46506,43981,10/21/2021
Capital Region,Washington,37019,35152,10/21/2021
Finger Lakes,Wayne,56946,53558,10/21/2021
Mid-Hudson,Westchester,739312,670507,10/21/2021
Finger Lakes,Wyoming,20495,19139,10/21/2021
Finger Lakes,Yates,12799,11888,10/21/2021
Capital Region,Albany,220160,202979,10/22/2021
Western New York,Allegany,19970,18655,10/22/2021
New York City,Bronx,968863,857503,10/22/2021
Southern Tier,Broome,120308,113027,10/22/2021
Western New York,Cattaraugus,37782,34926,10/22/2021
Central New York,Cayuga,44206,41162,10/22/2021
Western New York,Chautauqua,71099,65238,10/22/2021
Southern Tier,Chemung,42995,40391,10/22/2021
Southern Tier,Chenango,27696,26059,10/22/2021
North Country,Clinton,52900,50133,10/22/2021
Capital Region,Columbia,40981,37518,10/22/2021
Central New York,Cortland,26352,24780,10/22/2021
Southern Tier,Delaware,23793,22130,10/22/2021
Mid-Hudson,Dutchess,199109,179451,10/22/2021
Western New York,Erie,614847,570929,10/22/2021
North Country,Essex,24557,23185,10/22/2021
North Country,Franklin,27590,25825,10/22/2021
Mohawk Valley,Fulton,26508,24824,10/22/2021
Finger Lakes,Genesee,32938,30784,10/22/2021
Capital Region,Greene,28394,25891,10/22/2021
North Country,Hamilton,3337,3076,10/22/2021
Mohawk Valley,Herkimer,33070,30739,10/22/2021
North Country,Jefferson,65157,54011,10/22/2021
New York City,Kings,1690977,1526993,10/22/2021
North Country,Lewis,12845,12223,10/22/2021
Finger Lakes,Livingston,36067,34148,10/22/2021
Central New York,Madison,48342,45228,10/22/2021
Finger Lakes,Monroe,505258,474519,10/22/2021
Mohawk Valley,Montgomery,31196,29262,10/22/2021
Long Island,Nassau,1077706,986258,10/22/2021
New York City,New York,1330242,1196655,10/22/2021
Western New York,Niagara,130998,122644,10/22/2021
Mohawk Valley,Oneida,135918,125671,10/22/2021
Central New York,Onondaga,321039,297848,10/22/2021
Finger Lakes,Ontario,73675,69702,10/22/2021
Mid-Hudson,Orange,224144,203925,10/22/2021
Finger Lakes,Orleans,21461,19944,10/22/2021
Central New York,Oswego,70046,65707,10/22/2021
Mohawk Valley,Otsego,36111,33875,10/22/2021
Mid-Hudson,Putnam,71791,64667,10/22/2021
New York City,Queens,1835255,1675521,10/22/2021
Capital Region,Rensselaer,104683,97478,10/22/2021
New York City,Richmond,324986,296753,10/22/2021
Mid-Hudson,Rockland,200324,181612,10/22/2021
Capital Region,Saratoga,164245,154268,10/22/2021
Capital Region,Schenectady,118084,109524,10/22/2021
Mohawk Valley,Schoharie,17235,16289,10/22/2021
Southern Tier,Schuyler,10060,9387,10/22/2021
Finger Lakes,Seneca,17351,16251,10/22/2021
North Country,St. Lawrence,63509,59527,10/22/2021
Southern Tier,Steuben,47981,45232,10/22/2021
Long Island,Suffolk,1074137,976616,10/22/2021
Mid-Hudson,Sullivan,43889,39634,10/22/2021
Southern Tier,Tioga,22916,21624,10/22/2021
Southern Tier,Tompkins,75378,70663,10/22/2021
Mid-Hudson,Ulster,129676,118508,10/22/2021
Capital Region,Warren,46532,44008,10/22/2021
Capital Region,Washington,37048,35177,10/22/2021
Finger Lakes,Wayne,57012,53594,10/22/2021
Mid-Hudson,Westchester,739954,671149,10/22/2021
Finger Lakes,Wyoming,20526,19169,10/22/2021
Finger Lakes,Yates,12809,11898,10/22/2021
Capital Region,Albany,220237,203066,10/23/2021
Western New York,Allegany,19985,18674,10/23/2021
New York City,Bronx,969989,858985,10/23/2021
Southern Tier,Broome,120356,113078,10/23/2021
Western New York,Cattaraugus,37817,34954,10/23/2021
Central New York,Cayuga,44235,41199,10/23/2021
Western New York,Chautauqua,71147,65295,10/23/2021
Southern Tier,Chemung,43027,40424,10/23/2021
