,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
938,Kentucky,Male,1,0.0,27.0,0.0,0.0,0.0,0.0
939,Kentucky,Male,5,0.0,52.0,0.0,0.0,0.0,0.0
940,Kentucky,Male,15,0.0,513.0,6.0,0.0,0.0,7.0
942,Kentucky,Male,25,6.0,1019.0,20.0,5.0,3.0,26.0
944,Kentucky,Male,35,48.0,1663.0,80.0,30.0,6.0,99.0
946,Kentucky,Male,45,125.0,2713.0,195.0,59.0,5.0,267.0
948,Kentucky,Male,55,421.0,6075.0,619.0,234.0,17.0,821.0
949,Kentucky,Male,65,930.0,8283.0,1135.0,549.0,19.0,1533.0
950,Kentucky,Male,75,1046.0,8328.0,1248.0,591.0,16.0,1719.0
951,Kentucky,Male,85,814.0,6062.0,853.0,396.0,12.0,1283.0
953,Kentucky,Female,0,0.0,130.0,6.0,0.0,0.0,7.0
955,Kentucky,Female,1,0.0,19.0,6.0,0.0,0.0,6.0
956,Kentucky,Female,5,0.0,45.0,0.0,0.0,6.0,8.0
957,Kentucky,Female,15,0.0,198.0,3.0,0.0,3.0,6.0
959,Kentucky,Female,25,8.0,469.0,20.0,7.0,4.0,23.0
961,Kentucky,Female,35,23.0,851.0,57.0,14.0,1.0,68.0
963,Kentucky,Female,45,83.0,1697.0,144.0,41.0,4.0,192.0
965,Kentucky,Female,55,309.0,3997.0,447.0,172.0,16.0,599.0
966,Kentucky,Female,65,640.0,6353.0,818.0,347.0,20.0,1130.0
967,Kentucky,Female,75,950.0,8139.0,1032.0,469.0,15.0,1527.0
968,Kentucky,Female,85,1330.0,10134.0,1050.0,472.0,16.0,1924.0
987,Louisiana,Male,0,6.0,243.0,1.0,0.0,0.0,6.0
989,Louisiana,Male,1,6.0,51.0,3.0,0.0,0.0,4.0
990,Louisiana,Male,5,3.0,84.0,4.0,0.0,0.0,1.0
991,Louisiana,Male,15,13.0,632.0,11.0,6.0,0.0,20.0
993,Louisiana,Male,25,36.0,1207.0,34.0,17.0,6.0,54.0
995,Louisiana,Male,35,92.0,1670.0,83.0,52.0,4.0,125.0
997,Louisiana,Male,45,282.0,2657.0,186.0,137.0,7.0,336.0
999,Louisiana,Male,55,718.0,6091.0,586.0,372.0,4.0,939.0
1000,Louisiana,Male,65,1363.0,8608.0,1093.0,733.0,12.0,1733.0
1001,Louisiana,Male,75,1425.0,8280.0,1114.0,751.0,4.0,1795.0
1002,Louisiana,Male,85,935.0,6245.0,769.0,484.0,6.0,1226.0
1004,Louisiana,Female,0,4.0,206.0,6.0,0.0,4.0,4.0
1006,Louisiana,Female,1,0.0,34.0,3.0,0.0,0.0,1.0
1007,Louisiana,Female,5,0.0,50.0,7.0,0.0,1.0,8.0
1008,Louisiana,Female,15,8.0,240.0,1.0,4.0,3.0,10.0
1010,Louisiana,Female,25,27.0,547.0,30.0,14.0,6.0,44.0
1012,Louisiana,Female,35,77.0,867.0,65.0,36.0,8.0,109.0
1014,Louisiana,Female,45,174.0,1634.0,146.0,84.0,10.0,245.0
1016,Louisiana,Female,55,534.0,4027.0,441.0,284.0,7.0,697.0
1017,Louisiana,Female,65,917.0,6324.0,734.0,487.0,3.0,1172.0
1018,Louisiana,Female,75,1203.0,7988.0,900.0,596.0,12.0,1519.0
1019,Louisiana,Female,85,1179.0,9966.0,900.0,536.0,11.0,1554.0
1038,Maine,Male,0,0.0,42.0,0.0,0.0,0.0,0.0
1040,Maine,Male,1,0.0,8.0,0.0,0.0,3.0,8.0
1041,Maine,Male,5,0.0,14.0,0.0,0.0,0.0,0.0
1042,Maine,Male,15,0.0,100.0,3.0,0.0,0.0,6.0
1044,Maine,Male,25,2.0,246.0,6.0,0.0,0.0,1.0
1046,Maine,Male,35,2.0,329.0,2.0,7.0,4.0,7.0
1048,Maine,Male,45,12.0,595.0,22.0,7.0,5.0,34.0
1050,Maine,Male,55,37.0,1507.0,71.0,2.0,8.0,107.0
1051,Maine,Male,65,86.0,2196.0,166.0,32.0,5.0,223.0
1052,Maine,Male,75,138.0,2545.0,229.0,45.0,4.0,325.0
1053,Maine,Male,85,118.0,2450.0,239.0,27.0,6.0,332.0
1055,Maine,Female,0,0.0,35.0,0.0,0.0,0.0,0.0
1057,Maine,Female,1,0.0,1.0,0.0,0.0,7.0,2.0
1058,Maine,Female,5,0.0,2.0,0.0,0.0,0.0,0.0
1059,Maine,Female,15,0.0,23.0,5.0,0.0,0.0,8.0
1061,Maine,Female,25,0.0,85.0,3.0,0.0,8.0,3.0
1063,Maine,Female,35,6.0,162.0,5.0,6.0,0.0,6.0
1065,Maine,Female,45,2.0,327.0,18.0,8.0,0.0,23.0
1067,Maine,Female,55,17.0,783.0,47.0,5.0,0.0,59.0
1068,Maine,Female,65,41.0,1559.0,94.0,5.0,3.0,129.0
1069,Maine,Female,75,131.0,2333.0,166.0,26.0,7.0,275.0
1070,Maine,Female,85,230.0,3842.0,221.0,35.0,12.0,428.0
1089,Maryland,Male,0,1.0,228.0,2.0,0.0,0.0,8.0
1091,Maryland,Male,1,7.0,22.0,3.0,0.0,7.0,3.0
1092,Maryland,Male,5,0.0,49.0,0.0,0.0,3.0,6.0
1093,Maryland,Male,15,1.0,592.0,10.0,4.0,4.0,16.0
1095,Maryland,Male,25,44.0,1290.0,44.0,19.0,5.0,72.0
1097,Maryland,Male,35,106.0,1621.0,81.0,38.0,1.0,151.0
1099,Maryland,Male,45,286.0,2644.0,214.0,119.0,5.0,385.0
1101,Maryland,Male,55,670.0,5844.0,524.0,269.0,14.0,936.0
1102,Maryland,Male,65,1076.0,7971.0,933.0,475.0,10.0,1544.0
1103,Maryland,Male,75,1378.0,8702.0,1212.0,617.0,18.0,1991.0
1104,Maryland,Male,85,1203.0,8470.0,1073.0,474.0,18.0,1816.0
1106,Maryland,Female,0,0.0,186.0,7.0,0.0,0.0,4.0
1108,Maryland,Female,1,0.0,23.0,3.0,0.0,0.0,3.0
1109,Maryland,Female,5,8.0,36.0,1.0,0.0,0.0,4.0
1110,Maryland,Female,15,11.0,178.0,6.0,4.0,0.0,15.0
1112,Maryland,Female,25,14.0,565.0,27.0,8.0,3.0,39.0
1114,Maryland,Female,35,50.0,857.0,52.0,13.0,0.0,89.0
1116,Maryland,Female,45,153.0,1547.0,127.0,56.0,5.0,226.0
1118,Maryland,Female,55,393.0,3809.0,358.0,169.0,14.0,595.0
1119,Maryland,Female,65,819.0,6254.0,688.0,339.0,17.0,1184.0
1120,Maryland,Female,75,1177.0,8595.0,936.0,492.0,22.0,1639.0
1121,Maryland,Female,85,1803.0,13889.0,1304.0,577.0,19.0,2545.0
1140,Massachusetts,Male,0,7.0,168.0,6.0,0.0,0.0,6.0
1142,Massachusetts,Male,1,6.0,19.0,0.0,0.0,0.0,5.0
1143,Massachusetts,Male,5,0.0,36.0,2.0,0.0,0.0,8.0
1144,Massachusetts,Male,15,2.0,347.0,2.0,8.0,3.0,10.0
1146,Massachusetts,Male,25,19.0,1041.0,16.0,8.0,5.0,29.0
1148,Massachusetts,Male,35,60.0,1469.0,58.0,17.0,8.0,104.0
1150,Massachusetts,Male,45,177.0,2474.0,132.0,69.0,10.0,250.0
1152,Massachusetts,Male,55,620.0,5720.0,542.0,295.0,26.0,891.0
1153,Massachusetts,Male,65,1292.0,8719.0,1108.0,595.0,24.0,1829.0
1154,Massachusetts,Male,75,1882.0,10347.0,1510.0,839.0,31.0,2583.0
1155,Massachusetts,Male,85,2291.0,11921.0,1718.0,925.0,23.0,3105.0
1157,Massachusetts,Female,0,0.0,138.0,0.0,0.0,0.0,0.0
1159,Massachusetts,Female,1,0.0,18.0,0.0,0.0,0.0,0.0
1160,Massachusetts,Female,5,0.0,30.0,7.0,0.0,0.0,5.0
1161,Massachusetts,Female,15,6.0,160.0,1.0,5.0,3.0,5.0
1163,Massachusetts,Female,25,4.0,447.0,14.0,5.0,4.0,20.0
1165,Massachusetts,Female,35,25.0,714.0,23.0,10.0,0.0,38.0
1167,Massachusetts,Female,45,97.0,1363.0,87.0,32.0,3.0,157.0
1169,Massachusetts,Female,55,343.0,3380.0,305.0,160.0,11.0,496.0
1170,Massachusetts,Female,65,822.0,6242.0,667.0,360.0,14.0,1142.0
1171,Massachusetts,Female,75,1626.0,9945.0,1233.0,675.0,25.0,2209.0
1172,Massachusetts,Female,85,3546.0,19537.0,2055.0,1073.0,40.0,4566.0
1191,Michigan,Male,0,0.0,428.0,8.0,0.0,0.0,8.0
1193,Michigan,Male,1,0.0,62.0,5.0,0.0,2.0,3.0
1194,Michigan,Male,5,0.0,116.0,0.0,0.0,8.0,3.0
1195,Michigan,Male,15,10.0,849.0,23.0,4.0,0.0,29.0
1197,Michigan,Male,25,47.0,1836.0,60.0,17.0,6.0,93.0
1199,Michigan,Male,35,110.0,2365.0,109.0,51.0,2.0,173.0
1201,Michigan,Male,45,395.0,4600.0,366.0,218.0,15.0,558.0
1203,Michigan,Male,55,999.0,10944.0,1054.0,555.0,25.0,1523.0
1204,Michigan,Male,65,2026.0,16332.0,1926.0,1105.0,40.0,2882.0
1205,Michigan,Male,75,2418.0,17564.0,2254.0,1287.0,27.0,3408.0
1206,Michigan,Male,85,1961.0,16454.0,1788.0,934.0,23.0,2837.0
1208,Michigan,Female,0,0.0,378.0,1.0,0.0,0.0,1.0
1210,Michigan,Female,1,0.0,50.0,3.0,0.0,5.0,6.0
1211,Michigan,Female,5,4.0,88.0,1.0,0.0,4.0,5.0
1212,Michigan,Female,15,4.0,332.0,2.0,7.0,6.0,15.0
1214,Michigan,Female,25,26.0,806.0,39.0,12.0,6.0,56.0
1216,Michigan,Female,35,65.0,1325.0,88.0,30.0,7.0,125.0
1218,Michigan,Female,45,208.0,2748.0,226.0,114.0,10.0,330.0
1220,Michigan,Female,55,607.0,6869.0,701.0,343.0,30.0,995.0
1221,Michigan,Female,65,1339.0,12002.0,1362.0,727.0,34.0,2006.0
1222,Michigan,Female,75,1858.0,16362.0,1631.0,875.0,33.0,2645.0
1223,Michigan,Female,85,2751.0,25996.0,2088.0,1030.0,28.0,3837.0
1242,Minnesota,Male,0,0.0,195.0,4.0,0.0,0.0,8.0
1244,Minnesota,Male,1,0.0,46.0,2.0,0.0,4.0,6.0
1245,Minnesota,Male,5,0.0,59.0,8.0,0.0,0.0,5.0
1246,Minnesota,Male,15,3.0,379.0,5.0,0.0,0.0,4.0
1248,Minnesota,Male,25,13.0,752.0,22.0,4.0,7.0,32.0
1250,Minnesota,Male,35,35.0,919.0,45.0,15.0,4.0,68.0
1252,Minnesota,Male,45,120.0,1699.0,113.0,49.0,6.0,190.0
1254,Minnesota,Male,55,314.0,4142.0,283.0,133.0,13.0,477.0
1255,Minnesota,Male,65,689.0,6522.0,632.0,318.0,20.0,1021.0
1256,Minnesota,Male,75,1122.0,8023.0,855.0,407.0,19.0,1589.0
1257,Minnesota,Male,85,1337.0,8986.0,941.0,436.0,17.0,1858.0
1259,Minnesota,Female,0,6.0,136.0,7.0,0.0,0.0,8.0
1261,Minnesota,Female,1,0.0,33.0,7.0,0.0,0.0,2.0
1262,Minnesota,Female,5,5.0,34.0,2.0,0.0,0.0,5.0
1263,Minnesota,Female,15,4.0,153.0,4.0,0.0,0.0,10.0
1265,Minnesota,Female,25,4.0,344.0,11.0,3.0,3.0,22.0
1267,Minnesota,Female,35,22.0,547.0,19.0,1.0,4.0,38.0
1269,Minnesota,Female,45,62.0,1029.0,80.0,21.0,6.0,125.0
1271,Minnesota,Female,55,162.0,2566.0,215.0,77.0,16.0,316.0
1272,Minnesota,Female,65,454.0,4591.0,407.0,176.0,16.0,700.0
1273,Minnesota,Female,75,843.0,7435.0,657.0,287.0,12.0,1225.0
1274,Minnesota,Female,85,1844.0,13569.0,1055.0,454.0,20.0,2464.0
1293,Mississippi,Male,0,0.0,145.0,8.0,0.0,0.0,8.0
1295,Mississippi,Male,1,0.0,34.0,3.0,0.0,5.0,4.0
1296,Mississippi,Male,5,6.0,62.0,4.0,8.0,3.0,3.0
1297,Mississippi,Male,15,7.0,432.0,10.0,6.0,0.0,13.0
1299,Mississippi,Male,25,31.0,730.0,32.0,13.0,8.0,51.0
1301,Mississippi,Male,35,76.0,1107.0,80.0,37.0,4.0,121.0
1303,Mississippi,Male,45,212.0,1896.0,197.0,114.0,2.0,298.0
1305,Mississippi,Male,55,546.0,4509.0,601.0,300.0,7.0,854.0
1306,Mississippi,Male,65,1048.0,6281.0,1017.0,610.0,12.0,1465.0
1307,Mississippi,Male,75,1108.0,5972.0,1043.0,639.0,12.0,1523.0
1308,Mississippi,Male,85,670.0,4065.0,655.0,349.0,8.0,977.0
1310,Mississippi,Female,0,0.0,112.0,8.0,0.0,0.0,2.0
1312,Mississippi,Female,1,0.0,20.0,0.0,0.0,0.0,0.0
1313,Mississippi,Female,5,0.0,43.0,7.0,0.0,5.0,3.0
1314,Mississippi,Female,15,8.0,135.0,1.0,3.0,0.0,1.0
1316,Mississippi,Female,25,30.0,337.0,30.0,19.0,7.0,43.0
1318,Mississippi,Female,35,74.0,648.0,62.0,37.0,6.0,103.0
1320,Mississippi,Female,45,181.0,1273.0,163.0,89.0,7.0,257.0
1322,Mississippi,Female,55,461.0,2948.0,446.0,275.0,3.0,641.0
1323,Mississippi,Female,65,768.0,4676.0,732.0,428.0,5.0,1075.0
1324,Mississippi,Female,75,877.0,5796.0,799.0,467.0,7.0,1215.0
1325,Mississippi,Female,85,965.0,6973.0,800.0,419.0,2.0,1349.0
1344,Missouri,Male,0,0.0,291.0,4.0,0.0,0.0,4.0
1346,Missouri,Male,1,0.0,66.0,4.0,0.0,8.0,5.0
1347,Missouri,Male,5,1.0,102.0,8.0,0.0,0.0,5.0
1348,Missouri,Male,15,7.0,743.0,4.0,8.0,8.0,14.0
1350,Missouri,Male,25,19.0,1428.0,26.0,7.0,5.0,46.0
1352,Missouri,Male,35,67.0,1771.0,61.0,28.0,3.0,101.0
1354,Missouri,Male,45,203.0,2935.0,187.0,95.0,10.0,305.0
1356,Missouri,Male,55,636.0,7454.0,627.0,307.0,26.0,980.0
1357,Missouri,Male,65,1254.0,10845.0,1130.0,614.0,21.0,1790.0
1358,Missouri,Male,75,1708.0,11945.0,1475.0,849.0,24.0,2356.0
1359,Missouri,Male,85,1521.0,10268.0,1228.0,644.0,18.0,2122.0
1361,Missouri,Female,0,4.0,242.0,4.0,0.0,0.0,1.0
1363,Missouri,Female,1,0.0,50.0,6.0,0.0,0.0,6.0
1364,Missouri,Female,5,0.0,61.0,2.0,0.0,4.0,5.0
1365,Missouri,Female,15,8.0,290.0,6.0,8.0,2.0,13.0
1367,Missouri,Female,25,14.0,563.0,10.0,6.0,7.0,18.0
1369,Missouri,Female,35,43.0,962.0,47.0,12.0,1.0,83.0
1371,Missouri,Female,45,95.0,1797.0,117.0,44.0,4.0,174.0
1373,Missouri,Female,55,411.0,4785.0,396.0,207.0,12.0,612.0
1374,Missouri,Female,65,924.0,8088.0,807.0,433.0,21.0,1318.0
1375,Missouri,Female,75,1289.0,10946.0,1112.0,586.0,32.0,1847.0
1376,Missouri,Female,85,2162.0,16092.0,1409.0,714.0,25.0,2881.0
1395,Montana,Male,0,0.0,29.0,0.0,0.0,0.0,0.0
1397,Montana,Male,1,0.0,1.0,0.0,0.0,0.0,0.0
1398,Montana,Male,5,0.0,17.0,0.0,0.0,0.0,0.0
1399,Montana,Male,15,0.0,128.0,0.0,0.0,0.0,0.0
1401,Montana,Male,25,4.0,190.0,4.0,5.0,0.0,1.0
1403,Montana,Male,35,13.0,255.0,17.0,2.0,7.0,25.0
1405,Montana,Male,45,38.0,454.0,29.0,17.0,8.0,51.0
1407,Montana,Male,55,99.0,1063.0,90.0,57.0,6.0,136.0
1408,Montana,Male,65,207.0,1762.0,183.0,105.0,4.0,287.0
1409,Montana,Male,75,276.0,2050.0,242.0,149.0,3.0,374.0
1410,Montana,Male,85,227.0,1871.0,202.0,96.0,3.0,338.0
1412,Montana,Female,0,0.0,31.0,4.0,0.0,0.0,1.0
1414,Montana,Female,1,0.0,4.0,0.0,0.0,0.0,0.0
1415,Montana,Female,5,0.0,14.0,0.0,0.0,0.0,0.0
1416,Montana,Female,15,0.0,47.0,6.0,0.0,0.0,3.0
1418,Montana,Female,25,3.0,90.0,1.0,8.0,0.0,2.0
1420,Montana,Female,35,13.0,133.0,4.0,6.0,0.0,14.0
1422,Montana,Female,45,17.0,245.0,12.0,4.0,0.0,22.0
1424,Montana,Female,55,68.0,658.0,53.0,37.0,6.0,87.0
1425,Montana,Female,65,128.0,1153.0,125.0,71.0,7.0,188.0
1426,Montana,Female,75,177.0,1561.0,139.0,82.0,7.0,235.0
1427,Montana,Female,85,275.0,2462.0,161.0,84.0,8.0,360.0
1446,Nebraska,Male,0,0.0,105.0,0.0,0.0,5.0,1.0
1448,Nebraska,Male,1,0.0,14.0,0.0,0.0,0.0,0.0
1449,Nebraska,Male,5,8.0,36.0,0.0,0.0,6.0,5.0
1450,Nebraska,Male,15,5.0,170.0,2.0,0.0,0.0,8.0
1452,Nebraska,Male,25,13.0,254.0,13.0,8.0,4.0,22.0
1454,Nebraska,Male,35,16.0,368.0,13.0,6.0,0.0,23.0
1456,Nebraska,Male,45,68.0,669.0,53.0,29.0,3.0,93.0
1458,Nebraska,Male,55,170.0,1627.0,159.0,78.0,5.0,259.0
1459,Nebraska,Male,65,352.0,2626.0,278.0,150.0,2.0,485.0
1460,Nebraska,Male,75,481.0,3043.0,386.0,235.0,2.0,634.0
1461,Nebraska,Male,85,455.0,3186.0,414.0,193.0,6.0,679.0
1463,Nebraska,Female,0,0.0,63.0,8.0,0.0,0.0,5.0
1465,Nebraska,Female,1,0.0,15.0,0.0,0.0,5.0,2.0
1466,Nebraska,Female,5,0.0,20.0,5.0,0.0,7.0,8.0
1467,Nebraska,Female,15,6.0,64.0,8.0,0.0,3.0,4.0
1469,Nebraska,Female,25,5.0,95.0,8.0,8.0,0.0,10.0
1471,Nebraska,Female,35,10.0,186.0,8.0,5.0,0.0,15.0
1473,Nebraska,Female,45,34.0,410.0,42.0,17.0,4.0,60.0
1475,Nebraska,Female,55,96.0,1050.0,89.0,41.0,8.0,149.0
1476,Nebraska,Female,65,176.0,1849.0,169.0,74.0,3.0,276.0
1477,Nebraska,Female,75,310.0,2683.0,288.0,131.0,2.0,471.0
1478,Nebraska,Female,85,556.0,4909.0,436.0,171.0,12.0,833.0
1497,Nevada,Male,0,0.0,104.0,6.0,0.0,0.0,1.0
1499,Nevada,Male,1,0.0,23.0,2.0,0.0,0.0,4.0
1500,Nevada,Male,5,3.0,44.0,7.0,0.0,0.0,6.0
1501,Nevada,Male,15,4.0,338.0,1.0,5.0,0.0,12.0
1503,Nevada,Male,25,25.0,623.0,36.0,20.0,0.0,41.0
1505,Nevada,Male,35,94.0,873.0,91.0,67.0,3.0,119.0
1507,Nevada,Male,45,269.0,1668.0,279.0,213.0,8.0,337.0
1509,Nevada,Male,55,522.0,3426.0,571.0,405.0,10.0,698.0
1510,Nevada,Male,65,903.0,5399.0,1038.0,716.0,12.0,1236.0
1511,Nevada,Male,75,963.0,5638.0,1065.0,764.0,3.0,1273.0
1512,Nevada,Male,85,547.0,3819.0,611.0,438.0,2.0,722.0
1514,Nevada,Female,0,6.0,80.0,0.0,0.0,0.0,1.0
1516,Nevada,Female,1,0.0,14.0,0.0,0.0,0.0,0.0
1517,Nevada,Female,5,0.0,20.0,0.0,0.0,0.0,0.0
1518,Nevada,Female,15,5.0,123.0,5.0,0.0,0.0,7.0
1520,Nevada,Female,25,23.0,268.0,24.0,14.0,2.0,35.0
1522,Nevada,Female,35,33.0,461.0,41.0,21.0,8.0,55.0
1524,Nevada,Female,45,103.0,919.0,142.0,80.0,2.0,170.0
1526,Nevada,Female,55,261.0,2038.0,325.0,203.0,4.0,387.0
1527,Nevada,Female,65,475.0,3555.0,610.0,389.0,8.0,701.0
1528,Nevada,Female,75,610.0,4568.0,712.0,473.0,1.0,853.0
1529,Nevada,Female,85,481.0,4829.0,516.0,350.0,8.0,650.0
1548,New Hampshire,Male,0,0.0,31.0,0.0,0.0,0.0,0.0
1550,New Hampshire,Male,1,0.0,8.0,0.0,0.0,0.0,0.0
1551,New Hampshire,Male,5,0.0,11.0,4.0,0.0,0.0,4.0
1552,New Hampshire,Male,15,1.0,84.0,1.0,0.0,0.0,3.0
1554,New Hampshire,Male,25,4.0,204.0,2.0,5.0,4.0,2.0
1556,New Hampshire,Male,35,6.0,259.0,4.0,3.0,0.0,10.0
1558,New Hampshire,Male,45,14.0,486.0,15.0,3.0,5.0,26.0
1560,New Hampshire,Male,55,42.0,1181.0,68.0,16.0,0.0,94.0
1561,New Hampshire,Male,65,122.0,1901.0,139.0,52.0,2.0,212.0
1562,New Hampshire,Male,75,215.0,2151.0,195.0,74.0,3.0,342.0
1563,New Hampshire,Male,85,229.0,2263.0,173.0,62.0,4.0,342.0
1565,New Hampshire,Female,0,0.0,26.0,0.0,0.0,6.0,7.0
1567,New Hampshire,Female,1,0.0,5.0,0.0,0.0,0.0,0.0
1568,New Hampshire,Female,5,0.0,8.0,0.0,0.0,0.0,0.0
1569,New Hampshire,Female,15,0.0,32.0,0.0,0.0,0.0,0.0
1571,New Hampshire,Female,25,0.0,96.0,0.0,0.0,0.0,0.0
1573,New Hampshire,Female,35,0.0,123.0,8.0,0.0,0.0,3.0
1575,New Hampshire,Female,45,8.0,269.0,4.0,8.0,0.0,10.0
1577,New Hampshire,Female,55,11.0,678.0,23.0,8.0,6.0,35.0
1578,New Hampshire,Female,65,76.0,1285.0,93.0,27.0,2.0,150.0
1579,New Hampshire,Female,75,160.0,1978.0,141.0,43.0,1.0,260.0
1580,New Hampshire,Female,85,366.0,3557.0,211.0,69.0,2.0,515.0
1599,New Jersey,Male,0,2.0,200.0,8.0,0.0,0.0,4.0
1601,New Jersey,Male,1,0.0,43.0,0.0,0.0,0.0,0.0
1602,New Jersey,Male,5,0.0,42.0,0.0,0.0,0.0,0.0
1603,New Jersey,Male,15,15.0,495.0,14.0,6.0,0.0,26.0
1605,New Jersey,Male,25,107.0,1448.0,69.0,51.0,7.0,128.0
1607,New Jersey,Male,35,287.0,2094.0,187.0,135.0,4.0,341.0
1609,New Jersey,Male,45,832.0,4070.0,547.0,418.0,13.0,974.0
1611,New Jersey,Male,55,1921.0,8769.0,1345.0,987.0,11.0,2289.0
1612,New Jersey,Male,65,2888.0,12433.0,2116.0,1523.0,17.0,3496.0
1613,New Jersey,Male,75,3275.0,14475.0,2507.0,1729.0,21.0,4071.0
1614,New Jersey,Male,85,2971.0,15241.0,2329.0,1451.0,24.0,3873.0
1616,New Jersey,Female,0,4.0,182.0,1.0,1.0,7.0,8.0
1618,New Jersey,Female,1,4.0,29.0,0.0,0.0,0.0,8.0
1619,New Jersey,Female,5,6.0,39.0,4.0,0.0,0.0,1.0
1620,New Jersey,Female,15,4.0,191.0,5.0,7.0,0.0,13.0
1622,New Jersey,Female,25,50.0,537.0,42.0,22.0,1.0,73.0
1624,New Jersey,Female,35,104.0,970.0,74.0,48.0,1.0,131.0
1626,New Jersey,Female,45,324.0,2115.0,257.0,168.0,6.0,414.0
1628,New Jersey,Female,55,954.0,5288.0,681.0,491.0,8.0,1150.0
1629,New Jersey,Female,65,1694.0,8826.0,1242.0,868.0,5.0,2073.0
1630,New Jersey,Female,75,2715.0,13782.0,2048.0,1388.0,12.0,3386.0
1631,New Jersey,Female,85,4330.0,25109.0,2933.0,1870.0,30.0,5420.0
1650,New Mexico,Male,0,0.0,53.0,4.0,0.0,0.0,8.0
1652,New Mexico,Male,1,0.0,16.0,0.0,0.0,0.0,0.0
1653,New Mexico,Male,5,2.0,31.0,6.0,4.0,8.0,1.0
1654,New Mexico,Male,15,5.0,255.0,5.0,5.0,0.0,2.0
1656,New Mexico,Male,25,49.0,647.0,40.0,25.0,0.0,64.0
1658,New Mexico,Male,35,85.0,831.0,70.0,51.0,8.0,106.0
1660,New Mexico,Male,45,164.0,1135.0,146.0,99.0,4.0,218.0
1662,New Mexico,Male,55,357.0,2304.0,301.0,201.0,4.0,461.0
1663,New Mexico,Male,65,513.0,3152.0,434.0,284.0,2.0,671.0
1664,New Mexico,Male,75,529.0,3435.0,438.0,261.0,4.0,713.0
1665,New Mexico,Male,85,380.0,2933.0,328.0,158.0,8.0,552.0
1667,New Mexico,Female,0,0.0,39.0,0.0,0.0,0.0,0.0
1669,New Mexico,Female,1,0.0,5.0,5.0,0.0,7.0,8.0
1670,New Mexico,Female,5,0.0,11.0,0.0,0.0,0.0,0.0
1671,New Mexico,Female,15,5.0,96.0,4.0,5.0,6.0,2.0
1673,New Mexico,Female,25,24.0,310.0,22.0,13.0,0.0,33.0
1675,New Mexico,Female,35,53.0,427.0,51.0,34.0,2.0,73.0
1677,New Mexico,Female,45,105.0,698.0,90.0,65.0,4.0,133.0
1679,New Mexico,Female,55,223.0,1357.0,199.0,130.0,8.0,299.0
1680,New Mexico,Female,65,362.0,2354.0,322.0,207.0,7.0,481.0
1681,New Mexico,Female,75,425.0,3044.0,336.0,183.0,2.0,583.0
1682,New Mexico,Female,85,483.0,4169.0,316.0,169.0,7.0,634.0
1701,New York,Male,0,4.0,323.0,5.0,0.0,0.0,5.0
1703,New York,Male,1,8.0,46.0,1.0,5.0,8.0,2.0
1704,New York,Male,5,6.0,88.0,5.0,4.0,1.0,4.0
1705,New York,Male,15,18.0,733.0,23.0,6.0,0.0,32.0
1707,New York,Male,25,74.0,1702.0,74.0,33.0,3.0,117.0
1709,New York,Male,35,188.0,2331.0,138.0,76.0,6.0,252.0
1711,New York,Male,45,576.0,4234.0,433.0,275.0,8.0,741.0
1713,New York,Male,55,1601.0,10324.0,1307.0,789.0,24.0,2141.0
1714,New York,Male,65,2765.0,15744.0,2335.0,1350.0,32.0,3778.0
1715,New York,Male,75,3381.0,18707.0,2954.0,1603.0,36.0,4766.0
1716,New York,Male,85,3544.0,20781.0,3346.0,1580.0,37.0,5343.0
1718,New York,Female,0,0.0,259.0,7.0,0.0,0.0,7.0
1720,New York,Female,1,0.0,40.0,1.0,0.0,8.0,1.0
1721,New York,Female,5,4.0,71.0,0.0,0.0,6.0,2.0
1722,New York,Female,15,8.0,260.0,11.0,0.0,3.0,18.0
1724,New York,Female,25,32.0,723.0,35.0,17.0,0.0,50.0
1726,New York,Female,35,90.0,1156.0,73.0,38.0,7.0,128.0
1728,New York,Female,45,263.0,2425.0,227.0,126.0,1.0,368.0
1730,New York,Female,55,807.0,6447.0,775.0,399.0,16.0,1198.0
1731,New York,Female,65,1745.0,11653.0,1503.0,829.0,23.0,2442.0
1732,New York,Female,75,2896.0,17587.0,2362.0,1277.0,29.0,4010.0
1733,New York,Female,85,5344.0,33573.0,3982.0,1931.0,62.0,7446.0
1752,New York City,Male,0,5.0,260.0,3.0,0.0,0.0,6.0
1754,New York City,Male,1,7.0,35.0,2.0,4.0,0.0,6.0
1755,New York City,Male,5,2.0,72.0,2.0,7.0,3.0,13.0
1756,New York City,Male,15,27.0,506.0,17.0,2.0,8.0,35.0
